42	staff	364	0	17	4
279	student	992	0	17	5
882	student	1991	3	19	2
628	student	421	0	14	33
293	faculty	1451	0	14	35
1248	student	801	2	21	52
468	faculty	1065	2	23	51
523	student	1703	0	21	31
254	faculty	1577	0	22	57
438	faculty	753	1	1	58
1117	staff	220	2	0	46
641	staff	1294	0	14	45
491	student	400	2	6	21
594	staff	1659	3	12	34
557	staff	996	0	11	28
145	student	656	3	17	58
719	student	959	1	9	35
440	student	734	2	9	26
874	student	1051	1	20	52
671	student	807	1	9	12
187	student	1191	0	11	47
1256	faculty	61	0	14	10
142	faculty	1996	2	3	11
1208	student	1487	3	9	3
946	staff	239	2	5	48
823	faculty	1536	2	21	8
901	staff	792	3	10	59
1025	staff	1578	3	19	21
803	staff	321	0	14	40
397	student	1378	3	12	4
1282	student	83	3	18	38
1301	staff	157	3	8	13
849	faculty	1837	1	6	17
414	faculty	339	0	23	51
1001	staff	549	0	22	3
625	faculty	1874	1	13	2
396	faculty	1123	3	19	27
1315	staff	1478	0	18	18
981	staff	828	1	5	38
10	faculty	502	2	10	52
439	staff	220	1	14	11
216	faculty	1186	3	2	54
473	student	358	2	10	26
676	staff	1899	2	12	36
882	student	352	3	13	59
758	student	1922	1	11	32
1201	staff	1033	1	5	48
802	student	1285	3	10	25
383	faculty	1118	2	9	57
33	staff	199	2	17	29
377	student	398	0	17	55
635	faculty	1471	0	1	0
719	student	169	3	7	16
1288	faculty	579	1	18	49
194	staff	1327	0	14	25
689	faculty	485	2	18	1
517	faculty	1816	3	17	55
386	faculty	942	0	8	5
114	student	351	2	6	22
482	faculty	1226	2	1	1
1336	staff	1203	2	20	59
1093	student	1283	0	18	50
546	student	1216	1	10	2
769	staff	817	1	6	11
403	faculty	507	2	2	24
1335	staff	402	3	1	50
488	faculty	1548	1	13	50
364	faculty	1222	1	6	20
1214	faculty	832	3	23	45
144	faculty	1053	0	5	21
204	student	1535	1	21	11
93	faculty	1252	2	8	40
988	staff	443	2	14	10
236	staff	1741	0	8	47
286	faculty	170	2	7	24
20	faculty	606	2	2	22
572	staff	708	1	19	44
1019	student	1149	0	16	27
261	student	1040	1	10	35
1177	staff	73	2	12	9
883	faculty	1595	3	9	14
1226	faculty	1659	0	7	20
1303	faculty	153	0	17	1
396	staff	1294	0	10	16
831	faculty	1041	3	3	47
154	faculty	1820	0	20	43
741	faculty	692	1	12	13
759	faculty	395	3	5	0
859	faculty	333	0	13	44
878	staff	1143	3	1	50
461	student	1023	0	13	0
312	student	865	0	0	10
624	faculty	586	0	18	57
127	faculty	1367	3	13	21
297	staff	1647	0	21	36
386	staff	453	1	13	5
960	faculty	326	3	5	42
785	faculty	684	0	1	29
133	staff	637	3	23	55
268	student	705	2	15	2
1355	faculty	771	3	3	5
422	staff	1656	2	13	43
51	faculty	309	1	1	14
238	staff	1586	1	0	25
1363	student	1911	0	13	21
256	student	1172	2	11	37
825	staff	1782	3	0	13
241	faculty	905	0	2	10
1018	faculty	142	3	17	11
441	faculty	715	2	9	9
791	faculty	1383	2	3	40
1045	staff	365	3	8	45
65	faculty	533	1	15	28
1293	student	1579	0	1	7
868	student	159	0	21	14
1002	staff	245	3	5	52
625	student	1422	3	6	28
28	faculty	105	2	18	10
688	student	634	3	5	43
107	staff	1040	3	9	0
965	student	1649	1	7	44
1019	faculty	780	1	7	39
304	faculty	1128	3	0	28
172	staff	943	3	17	32
747	student	1799	2	23	5
290	staff	895	0	13	8
319	student	1631	3	12	52
553	faculty	600	3	21	3
424	staff	1630	1	23	45
29	student	1377	0	15	37
10	student	1079	1	4	2
609	staff	1251	2	2	8
147	student	1979	3	22	0
749	faculty	566	3	11	6
1186	student	1883	1	16	28
324	staff	287	2	0	15
919	staff	1441	1	3	41
150	faculty	614	3	12	2
1076	student	172	0	12	52
827	staff	203	1	4	45
1027	faculty	1405	1	5	16
737	staff	844	2	0	52
137	faculty	512	3	15	51
31	student	655	3	21	46
91	student	1692	2	21	33
417	student	38	2	9	54
904	staff	333	0	4	24
1118	faculty	1139	0	16	20
319	faculty	80	3	17	24
704	faculty	1673	1	22	21
490	student	1312	1	2	0
1203	staff	1861	1	14	39
809	staff	2001	3	9	1
1305	staff	715	1	2	9
123	faculty	1067	2	21	54
1309	faculty	1989	1	3	9
1138	student	88	0	3	44
1118	student	585	3	18	39
813	staff	112	2	5	10
685	student	410	3	7	1
1316	staff	1140	2	9	8
178	student	1986	1	1	48
342	faculty	1753	3	4	44
979	student	1101	1	14	51
134	faculty	183	3	8	5
1277	staff	680	2	21	13
487	staff	146	1	3	28
80	faculty	1451	1	18	36
517	student	696	3	9	44
1341	faculty	51	2	9	4
1310	student	1932	1	12	1
546	faculty	453	3	6	28
919	faculty	1937	3	9	52
137	staff	144	1	4	36
1091	staff	2026	0	22	25
709	staff	1521	0	19	54
1040	staff	752	0	11	32
70	student	268	3	6	6
860	staff	516	0	22	53
959	faculty	1176	0	5	25
848	faculty	632	3	18	50
1293	staff	1308	3	16	48
1283	student	345	3	2	27
1337	faculty	1448	1	4	51
217	staff	479	1	10	49
721	staff	1590	3	10	35
1076	student	391	2	6	46
315	student	1218	1	22	3
1076	staff	1551	3	15	8
635	student	935	0	21	42
162	staff	579	1	18	3
351	staff	955	2	9	16
138	student	423	0	18	24
792	staff	1165	1	17	44
938	faculty	694	2	0	28
1082	staff	1182	1	20	34
77	student	426	0	9	0
1175	student	973	3	21	9
20	student	1835	1	16	10
216	staff	1094	2	21	54
910	student	1725	1	13	21
373	faculty	1388	3	12	46
511	student	804	3	22	32
1383	staff	1525	0	10	44
903	faculty	490	2	12	1
923	staff	1607	1	21	15
995	student	373	2	9	52
473	student	1458	0	18	27
609	staff	1938	3	23	34
1005	staff	349	2	17	46
1167	faculty	1397	0	19	32
1157	staff	1477	1	19	2
1332	student	613	0	3	42
1019	faculty	1250	3	22	36
1291	student	354	2	21	9
444	faculty	1707	0	12	31
1397	faculty	858	3	2	31
898	staff	733	3	8	25
1109	student	268	1	19	13
102	student	1158	3	10	9
1393	staff	1899	1	9	47
914	staff	664	0	20	30
1102	staff	1207	1	18	42
365	faculty	620	3	5	43
1380	staff	199	3	18	50
183	student	1956	3	14	8
52	staff	1243	0	7	46
1343	student	502	0	2	21
1119	staff	897	1	18	21
858	faculty	644	2	18	21
864	staff	837	2	1	55
766	staff	1616	2	9	20
731	staff	958	0	1	20
1167	faculty	1840	3	5	52
1183	staff	1382	1	20	14
1009	student	1677	0	7	8
465	staff	1273	1	7	21
190	staff	1842	0	19	51
675	faculty	1921	0	6	30
498	staff	1810	2	19	24
541	staff	929	1	11	18
493	faculty	282	3	0	54
441	student	815	1	4	25
792	student	1240	1	2	39
172	faculty	103	1	12	17
1227	faculty	1820	2	18	59
819	staff	189	1	12	12
581	staff	1997	0	21	23
1371	student	226	2	18	11
820	student	1086	2	11	3
1117	student	1482	1	10	33
63	faculty	1490	3	8	19
537	student	1228	0	11	4
241	faculty	1036	2	1	42
50	faculty	1788	1	5	55
297	faculty	1708	2	19	38
978	student	37	1	9	55
1279	faculty	1783	3	0	25
294	student	202	3	1	14
369	student	1221	1	18	28
52	student	174	2	17	57
630	student	1904	3	13	52
1147	student	1121	3	21	37
1041	student	266	3	7	26
163	staff	1213	2	12	17
266	staff	543	1	2	18
79	faculty	641	3	21	50
576	faculty	780	1	21	5
1215	staff	1037	0	16	47
523	faculty	1840	1	7	27
1106	staff	351	2	7	7
409	faculty	306	3	21	2
1067	staff	1485	0	22	0
1254	staff	1378	3	13	51
1083	staff	227	2	16	41
497	faculty	51	3	11	4
119	student	1406	2	3	38
875	faculty	952	3	11	28
1154	staff	777	0	6	58
851	staff	991	3	23	23
117	faculty	1591	1	17	14
151	staff	1211	3	11	50
444	staff	1202	1	21	12
877	faculty	277	2	15	45
173	staff	2019	0	5	11
1259	faculty	1236	2	4	46
572	faculty	1426	1	12	54
130	faculty	139	0	17	58
618	faculty	656	0	0	26
729	faculty	148	2	7	25
487	staff	450	2	7	33
816	faculty	348	0	11	7
1388	faculty	1216	3	16	7
75	faculty	1182	3	20	13
286	faculty	1341	0	5	46
769	student	1443	0	14	17
639	faculty	1385	1	15	1
494	student	1017	1	21	57
1102	faculty	1477	1	1	24
1085	student	1555	1	4	1
673	student	1686	3	9	20
681	student	1441	1	16	11
617	faculty	798	0	19	33
1380	staff	289	1	0	55
566	student	1750	3	0	36
256	faculty	101	0	23	36
3	student	1935	0	7	22
486	staff	1110	0	21	2
709	student	1370	0	10	53
741	staff	504	1	17	0
936	staff	1430	3	11	26
1342	staff	511	0	19	16
826	faculty	42	0	7	42
1244	faculty	51	2	8	8
819	staff	1747	2	10	30
536	student	1199	3	23	20
980	faculty	1135	3	13	41
853	staff	63	1	3	22
